"from","to"
"STIP1","YWHAE"
"AURKB","YWHAE"
"CDK3","YWHAE"
"TNIP1","YWHAE"
"CAPZB","HIST1H2BH"
"CAPZB","DCTN4"
"CAPZB","CS"
"CAPZB","HSP90AB1"
"CAPZB","TPM3"
"CAPZB","TTC4"
"CAPZB","IGF2BP3"
"CAPZB","COPE"
"CAPZB","CCT5"
"CAPZB","MCM2"
"CAPZB","HDGF"
"CAPZB","VASP"
"CAPZB","KPNA2"
"CAPZB","STIP1"
"AKT1","CAPZB"
"CAPZB","CFL1"
"CAPZB","HNRNPA2B1"
"CAPZB","EIF4ENIF1"
"CAPZB","POLR1A"
"CAPZB","POLD1"
"CAPZB","MARK3"
"CAPZB","SDCCAG3"
"CAPZB","EWSR1"
"CAPZB","RPL13"
"CAD","CAPZB"
"CAPZB","RPL32"
"CAPZB","PRMT1"
"CAPZB","FN3KRP"
"CAPZB","CLPB"
"CAPZB","UPF1"
"CAPZB","ZHX1"
"CAPZB","KIAA0430"
"CAPZB","UBQLN4"
"CAPZB","DBNL"
"CAPZB","EIF3A"
"CAPZB","PPP1CA"
"CAPZB","YWHAE"
"CAPZB","RPS18"
"CAPZB","RPS28"
"CAPZB","EIF4G1"
"CAPZB","CSNK2B"
"ARHGEF1","CAPZB"
"CAPZB","RUFY1"
"CAPZB","PSMD13"
"CAPZB","PPP2R2B"
"CAPZB","CDK2"
"CAPZB","SLC25A1"
"CAPZB","RECQL4"
"CAPZB","KIF14"
"CAPZB","PRC1"
"CAPZB","PER2"
"CAPZB","CUL3"
"CAPZB","RNF40"
"BAP1","CAPZB"
"CAPZB","TNIP1"
"PRMT1","PRMT1"
"PRMT1","SUPT5H"
"NCOA1","PRMT1"
"PRMT1","TERF2"
"PRMT1","STAT5A"
"GLTSCR2","PRMT1"
"COPS7B","PRMT1"
"PRMT1","RBM15"
"PRMT1","SIRT1"
"EWSR1","PRMT1"
"PRMT1","PSMD2"
"MAP3K5","PRMT1"
"PRMT1","PRMT5"
"HSP90AB1","PRMT1"
"HNRNPA2B1","PRMT1"
"CAD","PRMT1"
"PRMT1","TAF4"
"CCT5","PRMT1"
"PRMT1","SF3B2"
"PRMT1","USP9X"
"EIF4G1","PRMT1"
"PRMT1","PSMD11"
"PRMT1","SHMT2"
"PRMT1","PSPC1"
"KPNA2","PRMT1"
"IGF2BP3","PRMT1"
"PRMT1","UPF1"
"MCM5","PRMT1"
"AQR","PRMT1"
"PRMT1","SNRPB"
"ENO1","PRMT1"
"PRMT1","RPL13"
"PRMT1","TUFM"
"PRMT1","YWHAE"
"EIF3A","PRMT1"
"PRMT1","ZC3H4"
"CAPZB","PRMT1"
"PRMT1","PSMC4"
"NAT10","PRMT1"
"CSNK2B","PRMT1"
"DNAJC7","PRMT1"
"PGK1","PRMT1"
"MYBBP1A","PRMT1"
"CS","PRMT1"
"PRMT1","TPM3"
"PRMT1","USP10"
"DDX42","PRMT1"
"AARS","PRMT1"
"DCTN4","PRMT1"
"DAXX","PRMT1"
"CUL3","PRMT1"
"CDK2","PRMT1"
"MCM7","PRMT1"
"PRMT1","THOC1"
"MCM2","PRMT1"
"PRMT1","RECQL4"
"FBXW7","PRMT1"
"EIF4ENIF1","PRMT1"
"KIAA0430","PRMT1"
"PRMT1","PRPF4"
"NCAPD2","PRMT1"
"CLK2","PRMT1"
"PRMT1","RUFY1"
"MCM2","MCM2"
"MCM2","MCM7"
"MCM2","MCM5"
"CCT5","MCM2"
"MCM2","RPS18"
"CAPZB","MCM2"
"HSP90AB1","MCM2"
"HSPB1","MCM2"
"MCM2","RPS28"
"FN3KRP","MCM2"
"CFL1","MCM2"
"CAD","MCM2"
"HNRNPA2B1","MCM2"
"H3F3B","MCM2"
"KRT2","MCM2"
"MCM2","TPM3"
"MCM2","SLC25A1"
"MCM2","PHB2"
"ATAD3A","MCM2"
"MCM2","TUFM"
"ENO1","MCM2"
"MCM2","PSMD2"
"MCM2","RPL13"
"MCM2","RPL32"
"CCT6B","MCM2"
"CLPB","MCM2"
"MCM2","NPLOC4"
"MCM2","TIMM50"
"CS","MCM2"
"DNAJC7","MCM2"
"MCM2","SLC3A2"
"EWSR1","MCM2"
"MCM2","STIP1"
"EIF4G1","MCM2"
"KPNA2","MCM2"
"MCM2","USP9X"
"MCM2","PGK1"
"MCM2","PRMT1"
"KIF14","MCM2"
"MCM2","PPP2R2D"
"HIST1H2BO","MCM2"
"MCM2","PPP2R2B"
"HIST1H2BH","MCM2"
"MCM2","YWHAE"
"CHD3","MCM2"
"HIST1H3C","MCM2"
"MCM2","PLK1"
"MCM2","THOC1"
"MCM2","MED15"
"MCM2","SSRP1"
"MCM2","SUPT16H"
"MCM2","PPP4C"
"MCM2","SF3B2"
"DBNL","MCM2"
"CDK2","MCM2"
"MCM2","RECQL4"
"CHD4","MCM2"
"FBXW7","MCM2"
"MCM2","NBR1"
"HMGA1","MCM2"
"BAP1","MCM2"
"HSP90AB1","STIP1"
"HSP90AB1","RPL32"
"HSP90AB1","MCM5"
"HSP90AB1","PGK1"
"HSP90AB1","TPM3"
"AARS","HSP90AB1"
"HSP90AB1","MCM2"
"HSP90AB1","TTC4"
"HSP90AB1","TOMM34"
"HSP90AB1","HSP90AB1"
"HSP90AB1","TRAF2"
"HSP90AB1","SRC"
"HSP90AB1","TSC1"
"HSP90AB1","P4HA1"
"HSP90AB1","SHMT2"
"HSP90AB1","PSMC3"
"HSP90AB1","PLCG1"
"CCT5","HSP90AB1"
"HSP90AB1","TUFM"
"HCFC1","HSP90AB1"
"HSP90AB1","YWHAE"
"GPS1","HSP90AB1"
"HSP90AB1","SF3B2"
"HSP90AB1","UPF1"
"DNAJC7","HSP90AB1"
"COPS7B","HSP90AB1"
"AKT1","HSP90AB1"
"CUL3","HSP90AB1"
"CUL5","HSP90AB1"
"CDK2","HSP90AB1"
"GRK5","HSP90AB1"
"HSP90AB1","KPNA2"
"HSP90AB1","MCM7"
"AURKA","HSP90AB1"
"AURKB","HSP90AB1"
"CDK3","HSP90AB1"
"HSP90AB1","HSPB1"
"HSP90AB1","NUP85"
"HSP90AB1","IKBKG"
"HSP90AB1","SLC25A1"
"COPE","HSP90AB1"
"CHD3","HSP90AB1"
"HSP90AB1","RECQL4"
"GSK3B","HSP90AB1"
"ARAF","HSP90AB1"
"HSP90AB1","MAP2K2"
"ENO1","HSP90AB1"
"HSP90AB1","KIF14"
"HSP90AB1","PRC1"
"HSP90AB1","NBR1"
"CAPZB","HSP90AB1"
"HSP90AB1","PRMT1"
"HSP90AB1","PSMD14"
"HSP90AB1","PSMD11"
"BAP1","HSP90AB1"
"HSP90AB1","IRAK1"
"HSP90AB1","RUFY1"
"DET1","HSP90AB1"
"HSP90AB1","TNIP1"
"HIST1H2BH","HSP90AB1"
"ACIN1","HSP90AB1"
"EIF4G1","HSP90AB1"
"CENPE","PRC1"
"PRC1","YWHAE"
"PRC1","SF3B2"
"GSK3B","PRC1"
"PRC1","PRC1"
"HNRNPA2B1","PRC1"
"KIF14","PRC1"
"PRC1","RPL13"
"NAT10","PRC1"
"KPNA2","PRC1"
"HSP90AB1","PRC1"
"PPP1CA","PRC1"
"PHB2","PRC1"
"HMGA1","PRC1"
"MYBBP1A","PRC1"
"CLTCL1","PRC1"
"AURKB","PRC1"
"PRC1","RPS18"
"HSPB1","PRC1"
"PRC1","TRAP1"
"PRC1","SSRP1"
"CBX5","PRC1"
"PLK1","PRC1"
"PRC1","TUFM"
"IGF2BP3","PRC1"
"PRC1","RPL32"
"PRC1","SUPT16H"
"FTSJ3","PRC1"
"PRC1","PRPF40A"
"FXR2","PRC1"
"PRC1","RANGAP1"
"PRC1","RPS28"
"MCM7","PRC1"
