"from","to"
"SH3KBP1","SRSF1"
"RIT1","SRSF1"
"SNRPB","SRSF1"
"MSH6","SRSF1"
"PRKDC","SRSF1"
"RICTOR","SRSF1"
"DYNC1H1","XRCC5"
"DYNC1H1","DYNC1H1"
"DYNC1H1","HSP90AA1"
"DYNC1H1","SNRPB"
"DYNC1H1","LRRK2"
"DYNC1H1","SUZ12"
"DYNC1H1","FBXO7"
"DYNC1H1","MAD2L2"
"DYNC1H1","OPTN"
"DHX15","DYNC1H1"
"DYNC1H1","PRKDC"
"DYNC1H1","SRSF2"
"DYNC1H1","SRSF1"
"DYNC1H1","UBE2O"
"DYNC1H1","RICTOR"
"ZBTB2","ZBTB2"
"HIST1H1E","ZBTB2"
"NOP56","ZBTB2"
"RBBP4","ZBTB2"
"GNL3","ZBTB2"
"NOP58","ZBTB2"
"SRSF10","ZBTB2"
"SUZ12","ZBTB2"
"MSH6","ZBTB2"
"SRSF2","ZBTB2"
"SNRPB","ZBTB2"
"LRRC59","ZBTB2"
"UBE2O","ZBTB2"
"NEDD4","NEDD4"
"NEDD4","UBC"
"NEDD4","YWHAH"
"NEDD4","SRSF7"
"NEDD4","UBB"
"FBP1","NEDD4"
"NEDD4","PDIA3"
"HSPE1","NEDD4"
"LRRK2","NEDD4"
