"from","to"
"EYA4","EYA4"
"EYA4","FHL3"
"EYA4","NUP155"
"EYA4","HNF1B"
"CFL2","DBN1"
"CFL2","NUPR1"
"BAG1","CFL2"
"CFL2","SMC5"
"PPP2CA","STRN"
"MAP4K4","STRN"
"RTN4","STRN"
"DHX9","WRN"
"ILF3","WRN"
"ADARB1","WRN"
"NUP43","WRN"
"EPS15","ITGA4"
"DBN1","EPS15"
"HNF1B","HNF1B"
"EYA4","HNF1B"
"DPF2","HNF1B"
"HNF1B","TLX2"
"HNF1B","POLH"
"ADARB1","POLH"
"NUP43","POLH"
"POLH","SMC5"
"NES","NUPR1"
"SIN3A","TBL1X"
"HNF1B","TBL1X"
"TBL1X","TLX2"
"ETF1","PPP2CA"
"ETF1","RIT1"
"ADARB1","SPATS2L"
"ILF3","SPATS2L"
"RBFOX2","SPATS2L"
"EYA4","SPATS2L"
"CDK6","MEF2D"
"HNF1B","MEF2D"
"MEF2D","SMC5"
"PRKCZ","RIPK1"
"FHL3","WNK1"
"VCL","WNK1"
"BAG1","WNK1"
"HIST1H4H","ITGA4"
"HIST1H4H","SMC5"
"HIST1H4H","ILF3"
"NRAS","SLC38A1"
"RAB3B","SLC38A1"
"RAB4A","SLC38A1"
"SLC38A1","STYK1"
"EPHA5","MAP4K4"
"EPHA5","NUP155"
"EIF2B1","RIT1"
"CTTNBP2NL","PPP2CA"
"CTTNBP2NL","MAP4K4"
"DPF2","LCP1"
"LCP1","NRAS"
"LCP1","MBNL1"
"GBF1","ZBTB33"
"ADARB1","ZBTB33"
"SMC5","ZBTB33"
"DNMT1","ZBTB33"
"DNMT3B","ZBTB33"
"DPF2","NAF1"
"NAF1","RBFOX2"
"CDK6","CDKN2C"
"CDKN2C","PPP2CA"
"CDKN2C","NF2"
"DBN1","FHL1"
"FHL1","RNF149"
"ILF3","MINA"
"EYA4","TCF3"
"HMGXB4","SUZ12"
"HMGXB4","SIN3A"
"DPF2","HMGXB4"
"HMGXB4","SMC5"
"MBNL1","RBM47"
"RBM47","YTHDF3"
"CHERP","RBM23"
"RBFOX2","RBM23"
"CDK6","RBM23"
"BCL11A","SUZ12"
"BCL11A","SIN3A"
"BCL11A","CDK6"
"BCL11A","ZBTB2"
"IFITM1","VPS16"
"DHX9","UBN1"
"HNF1B","UBN1"
"SMC5","UBN1"
"NRAS","PAPOLA"
"ITGA4","LGALS8"
"LGALS8","NUPR1"
"NCAPG2","RIT1"
"H2AFY","HIST1H3F"
"HIST1H3F","ITGA4"
"HIST1H3F","RAB3B"
"NRAS","SLC39A6"
"RAB4A","SLC39A6"
"RNF149","SLC39A6"
"SGTA","SMC5"
"NRP1","SGTA"
"DBN1","STAT5B"
"CGN","DBN1"
"ITGA4","PON2"
"PON2","RNF149"
"CABIN1","SIN3A"
"CABIN1","HNF1B"
"APLP2","NRAS"
"APLP2","RNF149"
"ITGA4","PTPRK"
"LGALS8","PTPRK"
"POLR3B","RIT1"
"NUP43","ZDBF2"
"SMC5","ZDBF2"
"CHD6","TLX2"
"CHD6","NUP43"
"ILF3","QSOX2"
"FHL3","SH3GLB2"
"SH3GLB2","TSG101"
"MBNL1","SH3GLB2"
"RIT1","TOP3A"
"LEMD3","PIGH"
"IFITM1","PIGH"
